Age,Height in cm,Weight in kg,Tries_avg,Try Assists_avg,Clean Breaks_avg,Defenders Beaten_avg,Meters Run_avg,Offload_avg,Passes_avg,Runs_avg,Missed Tackles_avg,Tackles_avg,Turnovers Conceded_avg,Penalties Conceded_avg,Yellow Cards_avg,RucksWon_avg,ScrumsRatio_avg,Tackle Ratio_avg,Lineouts Won_avg,Conversion Goals_avg,Penalty Goals_avg,Drop Goals Converted_avg,name,matches_intl,position_naim,sub_caps,is_forward,team_code,cluster,axis_course,axis_distrib,axis_kicking,axis_physique,axis_rigueur,axis_danger,axis_melee,rating_intl,photo_url,position_label,team
31.0,182.88,94.8,84.43243243243244,76.20039027088491,87.56265356265357,72.01101002371179,80.26771057889594,65.9071286051152,56.68789358677817,81.92380045243486,75.32900162586301,74.0162139389776,81.45945945945945,91.16696496401116,100.0,93.05071721311475,97.41075403564892,88.26453294119153,50.179846513179854,50.0,50.0,50.0,J JOSEPH,37,C,11.0,0,ENG,cluster_1,80.4,69.0,50.0,89.7,89.3,80.1,97.4,76.7,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Centre,Angleterre
30.0,187.96,109.77,60.61666666666667,50.0,60.6909090909091,59.30751281002672,62.01615119548444,50.0,51.58914168713354,58.703436123348034,61.24607672188319,67.0040724617329,75.5,86.92710814673653,100.0,89.15983606557378,92.95084670305212,95.60700407322443,50.0,50.0,50.0,50.0,J CLIFFORD,10,FL,8.0,1,ENG,cluster_1,60.3,50.0,50.0,90.2,81.8,59.8,87.9,68.0,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
25.0,190.5,117.93,58.84722222222222,66.15690733371235,58.90909090909091,73.26878202506677,90.15397191157714,60.89932885906042,55.86468955965945,98.17973568281946,65.61955100261554,83.36820671254038,50.0,83.65888518342067,100.0,87.82103825136619,84.9682589410853,97.55908729128453,50.0,50.0,50.0,50.0,A DOMBRANDT,12,N8,1.0,1,ENG,cluster_1,83.5,67.5,50.0,82.7,66.7,74.8,50.0,72.1,https://www.lequipe.fr/_medias/img-sportif-rugby/10248/100,N°8,Angleterre
29.0,182.88,111.58,66.89015151515152,50.0,56.074380165289256,62.163226967648534,58.60247187858546,55.945088468578405,51.289887733062926,71.33472166599923,72.15136324007294,72.19006523598577,93.3181818181818,80.68777339858806,83.29545454545455,92.36338797814213,90.37001005820572,90.34203301815228,75.10493827160495,50.0,50.0,50.0,L COWAN-DICKIE,44,H,26.0,1,ENG,cluster_1,76.6,52.7,50.0,87.6,74.1,69.6,86.1,73.3,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Talonneur,Angleterre
28.0,185.42,116.57,62.34496124031008,68.03561748879518,53.7293868921776,71.64537862796908,62.491208335771034,75.85422194474795,54.11804158127625,81.66200184407342,88.35871129944653,77.8086106275902,85.18604651162791,50.0,82.90697674418605,93.35645229087841,90.59162036044651,90.20694312620381,50.0,50.0,50.0,50.0,E GENGE,43,P,19.0,1,ENG,cluster_1,100.0,100.0,50.0,87.6,58.3,100.0,85.4,76.9,https://www.lequipe.fr/_medias/img-sportif-rugby/8553/100,Pilier,Angleterre
31.0,198.12,114.76,57.76829268292683,59.457701853880394,63.037694013303785,59.080500302465076,60.169766987397786,59.570142412833526,52.159460829205855,78.80928333512414,72.85787951602272,95.21932723891209,89.24390243902441,82.46319385537828,100.0,94.96129326047355,94.9222550167362,96.79992014251819,50.0,50.0,50.0,50.0,J LAUNCHBURY,41,L,17.0,1,ENG,cluster_1,84.3,67.5,50.0,92.2,79.9,90.0,89.2,81.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,2e Ligne,Angleterre
36.0,185.42,109.77,60.61666666666667,50.0,51.78181818181818,50.77562606750222,54.045437569146436,54.35973154362415,52.875589719574954,70.10079295154188,94.98430688753271,89.31049009970512,80.4,71.67540098459584,100.0,95.0409836065574,94.54367075040814,89.47436819621849,95.02757201646091,50.0,50.0,50.0,D HARTLEY,30,H,25.0,1,ENG,cluster_1,62.7,51.4,50.0,87.8,66.9,54.5,90.4,70.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Talonneur,Angleterre
36.0,182.88,116.57,50.0,50.0,56.68181818181819,61.63439101253338,54.80646047819377,50.0,50.28377530127384,56.99383259911896,59.37173060156932,65.76990591209099,100.0,91.82944259171032,100.0,89.15983606557378,90.04221148614113,93.35877147806549,50.0,50.0,50.0,50.0,M MULLAN,8,P,16.0,1,ENG,cluster_1,70.7,50.0,50.0,88.6,90.2,68.0,84.8,81.0,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Pilier,Angleterre
26.0,187.96,119.75,57.8641975308642,50.0,50.0,50.86180674166914,55.117990324002626,50.0,50.75673413673025,61.97298091042586,61.1072362685266,66.04924402003465,98.1851851851852,61.265505619960095,72.7777777777778,86.32216678545973,86.1176616499902,95.39932630396162,50.0,50.0,50.0,50.0,W STUART,27,P,11.0,1,ENG,cluster_1,60.5,50.0,50.0,89.2,67.2,57.1,80.9,67.1,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Pilier,Angleterre
24.0,185.42,109.77,59.0354609929078,58.25033565976801,63.64796905222437,70.79337968197456,65.87665934552304,65.30544052548909,56.5207941569309,87.16816946293005,95.46286334378307,100.0,73.93617021276594,50.0,68.72340425531918,92.68585589020205,89.32294432785075,93.28065722029359,50.0,50.0,50.0,50.0,T CURRY,47,FL,1.0,1,ENG,cluster_1,78.2,67.2,50.0,89.6,58.9,69.6,84.2,69.2,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
26.0,182.88,88.9,57.58333333333333,63.84877771461058,72.9090909090909,88.22728475546684,73.51732448259095,59.342281879194644,52.75667435523163,71.75859030837006,55.355274629468184,68.80634742311474,79.0,85.99333015721771,100.0,89.49453551912565,84.83898626477816,99.00229411489302,50.0,50.0,50.0,50.0,J MARCHANT,14,C,5.0,0,ENG,cluster_1,76.6,60.3,50.0,96.2,86.4,70.4,84.8,71.4,https://www.lequipe.fr/_medias/img-sportif-rugby/8506/100,Centre,Angleterre
36.0,187.96,107.95,50.0,50.0,67.00826446280992,59.51904719207278,68.35194000764895,67.8352654057352,54.643595839026545,93.79975971165405,92.59877546167871,100.0,75.5,50.0,100.0,90.76639344262306,94.83176414332121,93.57359357411032,50.0,50.0,50.0,50.0,C ROBSHAW,22,FL,0.0,1,ENG,cluster_1,78.6,61.9,50.0,89.2,67.1,57.3,89.7,69.6,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Flanker,Angleterre
28.0,187.96,89.81,61.17543859649122,80.61308757966547,66.88038277511961,72.04410928690534,77.32093324446987,63.76757329565526,52.50917108494768,82.39248782749831,63.810971412839,90.99453802319307,79.36842105263158,82.79882650886388,100.0,93.54616048317513,84.37292424756549,99.08432610197676,50.0,50.0,50.0,50.0,S SIMMONDS,19,N8,4.0,1,ENG,cluster_1,74.8,80.2,50.0,93.5,82.9,87.6,50.0,79.9,https://www.lequipe.fr/_medias/img-sportif-rugby/7238/100,N°8,Angleterre
27.0,187.96,100.7,50.0,62.92552586696988,57.12727272727273,60.858764945031155,67.30325772149759,58.71946308724834,53.93501751099731,83.98484581497804,77.49040976460333,100.0,93.46666666666668,50.0,100.0,90.1639344262295,91.52238362985806,95.46956110096708,50.0,50.0,50.0,50.0,L LUDLAM,15,FL,6.0,1,ENG,cluster_1,71.3,64.7,50.0,90.4,74.7,59.4,86.4,70.9,https://www.lequipe.fr/_medias/img-sportif-rugby/7679/100,Flanker,Angleterre
36.0,180.34,88.9,50.0,50.0,58.90909090909091,55.81719550626669,52.703634018984005,66.34899328859062,96.72833294309305,62.43348017621148,68.74346120313864,62.798764218508644,75.5,94.55296172780687,100.0,94.51502732240442,99.64070770194736,76.86199983826278,50.0,50.0,50.0,50.0,W HEINZ,12,SH,9.0,0,ENG,cluster_1,57.5,63.6,50.0,82.0,88.2,53.6,99.6,69.1,https://t4.ftcdn.net/jpg/00/65/10/47/360_F_65104718_x17a76wzWKIm3BlhA6uyYVkDs9982c6q.jpg,Demi de mêlée,Angleterre
