lnr_slug,name,team,n_matches_consistency,consistency_raw,axis_consistency
regis-montagne,Régis MONTAGNE,ASM Clermont,13,0.9661,100.0
lucas-dessaigne,Lucas DESSAIGNE,ASM Clermont,7,0.968,100.0
thomas-staniforth,T. STANIFORTH,Castres Olympique,14,0.9596,100.0
clovis-le-bail,Clovis LE BAIL,RC Toulon,4,0.9678,100.0
robert-leota,Robert LEOTA,Aviron Bayonnais,9,0.9632,100.0
loic-credoz,Loïc CREDOZ,Section Paloise,18,0.9601,100.0
florent-vanverberghe,F. VANVERBERGHE,Castres Olympique,15,0.9619,100.0
janick-tarrit,Janick TARRIT,Racing 92,14,0.9648,100.0
guillaume-marchand,G. MARCHAND,LOU Rugby,17,0.9656,100.0
cyril-cazeaux,Cyril CAZEAUX,Union Bordeaux-Bègles,14,0.9674,100.0
tyrone-viiga,Tyrone VIIGA,US Montauban,10,0.9667,100.0
gianmarco-lucchesi-1,G. LUCCHESI,RC Toulon,4,0.9821,100.0
joel-antonio-sclavi,J. SCLAVI,Stade Rochelais,4,0.9731,100.0
mahamadou-diaby,M. DIABY,USA Perpignan,8,0.9631,100.0
leon-seilala-lam,L. LAM,ASM Clermont,3,0.962,100.0
corentin-coularis,C. COULARIS,US Montauban,3,0.9681,100.0
adrea-cocagi,Adrea COCAGI,Castres Olympique,9,0.9603,100.0
levan-chilachava,L. CHILACHAVA,Castres Olympique,3,0.9728,100.0
thomas-vincent,Thomas VINCENT,Montpellier Hérault Rugby,4,0.972,100.0
tom-raffy,Tom RAFFY,ASM Clermont,3,0.9605,100.0
noa-zinzen,Noa ZINZEN,Racing 92,4,0.9707,100.0
mathieu-tanguy,Mathieu TANGUY,USA Perpignan,17,0.9597,100.0
gareth-william-anscombe,G. ANSCOMBE,Aviron Bayonnais,3,0.9609,100.0
lewis-bean,Lewis BEAN,US Montauban,4,0.9639,100.0
juan-martin-scelzo,J. SCELZO,Stade Français Paris,7,0.9658,100.0
quentin-walcker,Quentin WALCKER,Castres Olympique,9,0.9672,100.0
ultan-dillane,Ultan DILLANE,Stade Rochelais,5,0.9623,100.0
upaleto-feao,Upaleto FEAO,Stade Rochelais,4,0.9622,100.0
valentin-welsch,V. WELSCH,Montpellier Hérault Rugby,3,0.9804,100.0
fabien-sanconnie,Fabien SANCONNIE,Racing 92,7,0.9586,99.8
joseph-marchant,Joseph MARCHANT,Stade Français Paris,15,0.959,99.8
john-iscaro,John ISCARO,Stade Français Paris,4,0.9573,99.5
tevita-tatafu,Tevita TATAFU,Aviron Bayonnais,5,0.9574,99.5
bastien-chinarro,Bastien CHINARRO,USA Perpignan,9,0.9563,99.3
baptiste-delaporte,B. DELAPORTE,Castres Olympique,12,0.9567,99.3
veresa-tuqovu-ramototabua,V. RAMOTOTABUA,Castres Olympique,7,0.9555,99.1
thomas-moukoro-abouem,T. MOUKORO ABOUEM,LOU Rugby,15,0.9554,99.1
victor-hannoun,Victor HANNOUN,Aviron Bayonnais,3,0.9551,99.0
jordan-uelese,Jordan UELESE,Montpellier Hérault Rugby,13,0.955,99.0
romain-briatte,Romain BRIATTE,Stade Français Paris,16,0.9549,98.9
paul-jedrasiak,Paul JEDRASIAK,Castres Olympique,6,0.9545,98.9
alfred-parisien,Alfred PARISIEN,LOU Rugby,7,0.9541,98.8
paul-boudehent,Paul BOUDEHENT,Stade Rochelais,10,0.9537,98.7
hassane-kolingar,Hassane KOLINGAR,Racing 92,15,0.9535,98.6
guillaume-martocq,G. MARTOCQ,Aviron Bayonnais,10,0.9526,98.4
justo-piccardo,Justo PICCARDO,Montpellier Hérault Rugby,8,0.9523,98.4
theo-millet,Theo MILLET,LOU Rugby,18,0.9523,98.4
judicael-cancoriet,J. CANCORIET,Stade Rochelais,9,0.9523,98.4
paolo-garbisi,Paolo GARBISI,RC Toulon,8,0.9521,98.3
mickael-guillard,M. GUILLARD,LOU Rugby,11,0.952,98.3
paul-alo-emile,Paul ALO EMILE,Stade Français Paris,17,0.9518,98.3
connor-sa,Connor SA,Union Bordeaux-Bègles,8,0.952,98.3
sergo-abramishvili,S. ABRAMISHVILI,Stade Français Paris,6,0.9516,98.2
remi-seneca,Rémi SENECA,Section Paloise,9,0.951,98.1
valentin-delpy,V. DELPY,Stade Toulousain,4,0.9511,98.1
pablo-uberti,Pablo UBERTI,Union Bordeaux-Bègles,14,0.9506,98.0
mathys-lotrian,Mathys LOTRIAN,USA Perpignan,11,0.9504,98.0
pierre-henri-azagoh-kouadio,P. AZAGOH KOUADIO,Stade Français Paris,18,0.9502,97.9
edouard-jabea-njocke,E. JABEA NJOCKE,Racing 92,5,0.9503,97.9
marco-tauleigne,Marco TAULEIGNE,Montpellier Hérault Rugby,8,0.9501,97.9
tyler-duguid,Tyler DUGUID,Montpellier Hérault Rugby,18,0.9499,97.8
axel-desperes-rigou,A. DESPERES RIGOU,Section Paloise,19,0.9495,97.8
ryan-chapuis,Ryan CHAPUIS,Stade Français Paris,4,0.9499,97.8
harrison-plummer,H. PLUMMER,ASM Clermont,13,0.9498,97.8
shingirai-dylan-masimba-manyarara,S. MANYARARA,Racing 92,11,0.9491,97.7
daniel-bibi-biziwu,D. BIBI BIZIWU,Section Paloise,8,0.9488,97.6
aurelien-azar,A. AZAR,Castres Olympique,9,0.9486,97.6
marco-lorenzo-fepuleai,M. FEPULEA'I,Aviron Bayonnais,3,0.949,97.6
robert-simmons-1,Robert SIMMONS,ASM Clermont,15,0.9478,97.4
giorgi-dzmanashvili,G. DZMANASHVILI,ASM Clermont,5,0.948,97.4
dorian-aldegheri,Dorian ALDEGHERI,Stade Toulousain,12,0.9475,97.3
baptiste-pesenti,B. PESENTI,Stade Français Paris,17,0.9473,97.3
