lnr_id,name,team,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80
595,A. AZAR,Castres Olympique,8,0.375,5,7.45,0.28,0.0,0.55
1427,A. BECOGNEE,Montpellier Hérault Rugby,15,0.667,5,16.61,0.0,0.0,0.23
1866,A. DESPERES RIGOU,Section Paloise,19,0.684,5,7.96,1.05,0.21,0.0
2001,A. DUGUIVALU,USA Perpignan,15,0.733,5,5.2,1.0,2.0,0.4
2609,A. ERBINARTEGARAY,Aviron Bayonnais,11,1.0,5,5.03,0.42,0.63,0.0
1876,A. ETCHEBEHERE,Section Paloise,5,0.0,5,12.94,0.0,0.0,0.0
663,A. FISCHER,Aviron Bayonnais,13,0.385,5,8.79,0.57,0.57,0.28
11764,A. GARCIA ALBO,Stade Français Paris,6,0.0,5,10.72,0.0,0.0,0.0
13648,A. GARCIA IANDOLINO,Aviron Bayonnais,2,0.0,2,11.43,0.0,0.0,0.0
440,A. GRANDIDIER-NKANANG,Section Paloise,16,0.938,5,2.0,0.8,0.2,0.0
1028,A. KADDOURI,Stade Rochelais,12,0.417,5,9.77,0.0,0.0,1.09
935,A. KUNTELIA,Stade Rochelais,19,0.0,5,9.89,0.0,0.43,0.0
1544,A. LOALOA,ASM Clermont,11,0.909,5,10.0,0.6,1.6,0.8
11791,A. MAALO,LOU Rugby,2,0.0,2,8.89,0.0,0.0,0.0
1400,A. MASIBAKA,Montpellier Hérault Rugby,14,0.0,5,16.0,2.46,0.0,0.0
12629,A. MOON,Aviron Bayonnais,9,0.333,5,8.8,0.0,0.0,0.0
13452,A. PRICE,Montpellier Hérault Rugby,14,0.643,5,3.31,0.24,0.71,0.0
696,A. RAKA,ASM Clermont,5,0.6,5,1.57,1.05,1.05,0.26
2462,A. ROUMAT,Stade Toulousain,16,0.5,5,7.04,0.0,0.32,0.0
11794,A. SOKOBALE,Castres Olympique,1,0.0,1,12.0,0.0,0.0,0.0
1124,A. TCHAPTCHET NOUTCHA,LOU Rugby,6,0.667,5,2.94,0.24,0.98,0.0
11731,A. ZAPEDOWSKI,Union Bordeaux-Bègles,2,0.0,2,6.67,0.0,0.0,0.0
384,Abraham PAPALII,Castres Olympique,10,0.2,5,8.35,0.0,1.39,0.0
13459,Adam BEARD,Montpellier Hérault Rugby,9,0.444,5,11.89,0.0,0.32,0.64
9642,Adam COLEMAN,Union Bordeaux-Bègles,7,0.143,5,10.29,0.0,0.86,0.29
2989,Adam VARGAS,Castres Olympique,9,1.0,5,5.55,0.62,0.41,0.21
591,Adrea COCAGI,Castres Olympique,8,0.625,5,11.5,0.0,0.49,0.24
12202,Adrien DRAULT,Union Bordeaux-Bègles,4,0.5,4,7.36,0.46,0.0,0.0
596,Adrien SEGURET,Stade Rochelais,11,0.455,5,7.14,0.0,0.29,0.29
2388,Adrien WARION,USA Perpignan,11,0.455,5,13.19,0.0,0.29,0.0
2022,Akato FAKATIKA,USA Perpignan,1,0.0,1,10.67,0.0,0.0,0.0
646,Alex NEWSOME,ASM Clermont,12,0.75,5,2.13,0.21,0.21,0.0
2769,Alexis BERNADET,Montpellier Hérault Rugby,7,0.286,5,5.5,0.27,0.27,0.0
1126,Alfred PARISIEN,LOU Rugby,9,0.444,5,3.98,0.0,0.4,0.0
12480,Andro DVALI,USA Perpignan,2,0.0,2,10.0,0.0,0.0,0.0
2565,Andy BORDELAI,Aviron Bayonnais,13,0.308,5,10.45,0.0,0.0,0.0
2483,Ange CAPUOZZO,Stade Toulousain,6,0.5,5,2.23,1.67,0.28,0.0
2195,Anthime HEMERY,ASM Clermont,13,0.308,5,13.39,0.35,0.0,0.7
