player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,nationality,age,height_cm,weight_kg,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source
lnr_862,862,barnabe-massa,https://cdn.lnr.fr/joueur/862-barnabe-massa/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Massa,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,17,855.0,50.3,1,0,0,10.39,,,0.56,,,,0.19,0.37,,,2.81,0.56,,,,,lnr
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,17,743.0,43.7,1,0,0,10.12,,,0.11,,,,0.0,0.11,,,0.0,0.0,,,,,lnr
lnr_11554,11554,killian-tixeront,https://cdn.lnr.fr/joueur/11554-killian-tixeront/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Killian Tixeront,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,16,931.0,58.2,0,0,0,9.71,,,0.0,,,,0.34,0.09,,,0.86,0.17,,,,,lnr
lnr_184,184,giorgi-akhaladze,https://cdn.lnr.fr/joueur/184-giorgi-akhaladze/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Giorgi Akhaladze,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,15,736.0,49.1,1,0,0,9.13,,,0.0,,,,0.0,0.22,,,2.17,0.43,,,,,lnr
lnr_2655,2655,thomas-ceyte,https://cdn.lnr.fr/joueur/2655-thomas-ceyte/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Thomas Ceyte,Clermont,CLR,LOCK,2ème ligne,,,,,2025-2026,15,961.0,64.1,2,0,0,9.07,,,0.17,,,,0.25,1.91,,,0.0,0.0,,,,,lnr
lnr_11297,11297,baptiste-jauneau,https://cdn.lnr.fr/joueur/11297-baptiste-jauneau/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Jauneau,Clermont,CLR,SCRUM_HALF,Demi de mêlée,,,,,2025-2026,15,849.0,56.6,0,0,0,7.54,,,0.28,,,,0.75,0.94,,,2.83,0.57,,,,,lnr
lnr_5847,5847,robert-simmons-1,https://cdn.lnr.fr/joueur/5847-robert-simmons-1/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Robert Simmons,Clermont,CLR,LOCK,2ème ligne,,,,,2025-2026,15,778.0,51.9,0,1,0,9.15,,,0.31,,,,0.1,0.51,,,0.0,0.0,,,,,lnr
lnr_2446,2446,selevasio-tolofua,https://cdn.lnr.fr/joueur/2446-selevasio-tolofua/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,S. Tolofua,Clermont,CLR,CENTRE,Centre,,,,,2025-2026,15,865.0,57.7,0,0,0,11.38,,,0.09,,,,0.09,1.57,,,0.92,0.18,,,,,lnr
lnr_657,657,etienne-fourcade,https://cdn.lnr.fr/joueur/657-etienne-fourcade/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Fourcade,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,14,443.0,31.6,1,0,0,8.49,,,0.36,,,,0.18,0.18,,,1.81,0.36,,,,,lnr
lnr_2195,2195,anthime-hemery,https://cdn.lnr.fr/joueur/2195-anthime-hemery/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Anthime Hemery,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,14,598.0,42.7,1,0,0,11.91,,,0.54,,,,0.27,0.54,,,0.67,0.13,,,,,lnr
