player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,axis_consistency,n_matches_consistency,yellow_cards,orange_cards,red_cards,tries_per80
lnr_1427,1427,alexandre-becognee,https://cdn.lnr.fr/joueur/1427-alexandre-becognee/photo/photoFull.4cb2a4ab19ab443ff7739b68884b2f51b78c1bab,A. Becognee,Montpellier,MHR,BACK_ROW,3ème ligne,2020-2021,18,587.0,32.6,9.68,,,1.36,,,,0.0,0.41,,,2.04,,,,,lnr,,,,,0.0,0.0,69.5,69.7,0.75,0,32,49,32,70,0,,49.2,↘,5,"[43.9, 45.8, 16.1, 49.3, 89.7]",100,0.0,3ème Ligne,3L,75,Haute,False,Moyenne,False,13,57.1,,,,,,,,,,,,0.0,,,,,,
lnr_663,663,alexandre-fischer,https://cdn.lnr.fr/joueur/663-alexandre-fischer/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,A. Fischer,Clermont,CLR,BACK_ROW,3ème ligne,2020-2021,18,820.0,45.6,14.05,,,0.98,,,,0.0,0.39,,,0.0,,,,,lnr,23.0,188.0,107.0,France,96.08995655507285,85.6,86.7,81.2,1.0,0,30,0,98,70,93,,32.1,↘,5,"[26.2, 59.9, 31.4, 52.3, 21.6]",100,-0.16,3ème Ligne,3L,100,Haute,False,Bonne,False,1,100.0,,,,,,,,,,,,0.0,,,,,,
lnr_2103,2103,adrien-lapegue-lafaye,https://cdn.lnr.fr/joueur/2103-adrien-lapegue-lafaye/photo/photoFull.6fc701688372b38c2cd93e972d93fc323ab7f457,A. Lapegue - Lafaye,Paris,SFP,WINGER,Ailier,2020-2021,11,351.0,31.9,2.74,,,0.23,,,,0.68,0.68,,,0.0,,,,,lnr,,,,,0.0,0.0,62.8,64.6,0.75,31,56,0,11,54,0,0.0,50.0,→,0,[],100,0.0,Ailier,AIL,75,Haute,False,Basse,False,9,46.7,,,,,,,,,,,,0.0,,,,,,
lnr_1316,1316,alexandre-manukula,https://cdn.lnr.fr/joueur/1316-alexandre-manukula/photo/photoFull.bb41eca385b8d1ba127fd6b7ef29dd0e94ba4eec,A. Manukula,Bayonne,BAY,LOCK,2ème ligne,2020-2021,3,92.0,30.7,10.43,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,49.6,59.8,0.5,0,0,0,34,30,0,,50.0,→,0,[],100,0.0,2ème Ligne,2L,50,Basse,True,Basse,True,24,32.4,,,,,,,,,,,,0.0,,,,,,
lnr_1855,1855,aminiasi-tuimaba,https://cdn.lnr.fr/joueur/1855-aminiasi-tuimaba/photo/photoFull.3bdbafd9a091ef5bb037d3de56d946eed2f8ad5f,A. Tuimaba,Pau,PAU,WINGER,Ailier,2020-2021,15,966.0,64.4,5.38,,,0.0,,,,1.33,1.08,,,2.48,,,,,lnr,,,,,0.0,0.0,75.3,75.3,1.0,70,89,57,71,30,0,2.48,50.0,→,0,[],100,0.0,Ailier,AIL,100,Haute,False,Bonne,False,2,93.3,,,,,,,,,,,,0.0,,,,,,
lnr_584,584,asier-usarraga-latierro,https://cdn.lnr.fr/joueur/584-asier-usarraga-latierro/photo/photoFull.5130516f3d5f5fbc23b3eaab6efe1a2b3082c3df,A. Usarraga Latierro,Bayonne,BAY,BACK_ROW,3ème ligne,2020-2021,8,446.0,55.8,8.25,,,0.9,,,,0.54,0.54,,,0.9,,,,,lnr,,,,,0.0,0.0,67.7,68.3,0.75,80,42,22,10,67,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,75,Haute,False,Moyenne,False,15,50.0,,,,,,,,,,,,0.0,,,,,,
lnr_591,591,adrea-cocagi,https://cdn.lnr.fr/joueur/591-adrea-cocagi/photo/photoFull.50e0d211418fb8267083232d5e5561b6e88fe79f,Adrea Cocagi,Castres,CAS,CENTRE,Centre,2020-2021,15,457.0,30.5,7.53,,,0.53,,,,0.35,0.0,,,0.88,,,,,lnr,27.0,185.0,109.0,Fidji,94.55660618451316,87.2,75.9,74.2,0.75,38,0,23,88,66,96,,47.6,↗,5,"[29.8, 65.9, 45.8, 52.5, 64.2]",100,2.61,Centre,CTR,75,Haute,False,Moyenne,False,3,91.3,,,,,,,,,,,,0.0,,,,,,
lnr_2388,2388,adrien-warion,https://cdn.lnr.fr/joueur/2388-adrien-warion/photo/photoFull.b817331ae7e7f540e8505004318a8073270e5d10,Adrien Warion,Toulon,TLN,LOCK,2ème ligne,2020-2021,6,236.0,39.3,10.17,,,0.68,,,,0.0,0.0,,,0.0,,,,,lnr,20.0,,107.0,France,0.0,85.6,58.7,64.0,0.6,0,0,0,31,66,12,,50.9,↗,5,"[81.7, 36.2, 100, 39.9, 54.7]",100,-1.25,2ème Ligne,2L,60,Moyenne,True,Basse,False,17,52.9,,,,,,,,,,,,0.0,,,,,,
lnr_2672,2672,aitor-hourcade,https://cdn.lnr.fr/joueur/2672-aitor-hourcade/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Aitor Hourcade,Bayonne,BAY,BACK_ROW,3ème ligne,2020-2021,1,56.0,56.0,14.29,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,,,,,0.0,0.0,61.0,65.5,0.5,0,0,0,100,30,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,50,Basse,True,Basse,True,20,32.1,,,,,,,,,,,,0.0,,,,,,
lnr_2452,2452,alban-placines,https://cdn.lnr.fr/joueur/2452-alban-placines/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Alban Placines,Toulouse,TLS,BACK_ROW,3ème ligne,2020-2021,18,916.0,50.9,11.35,,,0.7,,,,0.09,0.7,,,1.31,,,,,lnr,,,,,0.0,0.0,71.6,71.6,1.0,13,54,32,57,59,0,,50.0,→,0,[],100,0.0,3ème Ligne,3L,100,Haute,False,Bonne,False,6,80.4,,,,,,,,,,,,0.0,,,,,,
lnr_1126,1126,alfred-parisien,https://cdn.lnr.fr/joueur/1126-alfred-parisien/photo/photoFull.eff1aa9b4a9f2b351be13ae3eed38b31d19c422e,Alfred Parisien,Lyon,LOU,CENTRE,Centre,2020-2021,2,68.0,34.0,8.24,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,20.0,182.0,91.0,France,93.0232558139535,72.8,58.8,61.0,0.5,0,0,0,100,30,85,,18.3,↗,5,"[7.2, 0, 23.6, 22.9, 26.0]",100,-1.25,Centre,CTR,50,Basse,True,Basse,True,15,39.1,,,,,,,,,,,,0.0,,,,,,
lnr_2169,2169,ali-oz,https://cdn.lnr.fr/joueur/2169-ali-oz/photo/photoFull.c13853c24f9a438203d2dc57b45e48161a549ae5,Ali Oz,Racing 92,R92,FRONT_ROW,1ère ligne,2020-2021,13,596.0,45.8,8.59,,,0.13,,,,0.0,0.54,,,0.0,,,,,lnr,,,,,0.0,0.0,53.7,57.8,0.75,0,53,0,34,36,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,75,Haute,False,Moyenne,False,63,8.8,,,,,,,,,,,,0.0,,,,,,
lnr_2565,2565,andy-bordelai,https://cdn.lnr.fr/joueur/2565-andy-bordelai/photo/photoFull.1d6a32f7ce4a12d423552fb50b73687ec52ba345,Andy Bordelai,Racing 92,R92,FRONT_ROW,1ère ligne,2020-2021,3,43.0,14.3,5.58,,,3.72,,,,0.0,0.0,,,0.0,,,,,lnr,21.0,186.0,115.0,France,95.06772297469972,92.0,65.8,66.9,0.5,0,0,0,1,70,90,,42.8,↘,5,"[47.8, 57.8, 25.0, 62.3, 49.4]",100,-1.03,1ère Ligne,1L,50,Basse,True,Basse,True,39,44.1,,,,,,,,,,,,0.0,,,,,,
lnr_1426,1426,anthony-bouthier,https://cdn.lnr.fr/joueur/1426-anthony-bouthier/photo/photoFull.55223152d2bdf719adae33c3f4ef18c348eed132,Anthony Bouthier,Montpellier,MHR,FULLBACK,Arrière,2020-2021,13,947.0,72.8,4.05,,,0.0,,,,0.25,1.01,,,7.6,,,,,lnr,,,,,0.0,0.0,71.2,71.2,1.0,16,100,100,41,30,0,7.6,50.0,→,0,[],100,0.0,Arrière,ARR,100,Haute,False,Bonne,False,2,90.0,62.2,France,11.0,cluster_1,69.2,58.5,50.0,72.4,71.9,58.1,99.1,0.0,,,,,,
lnr_2150,2150,antoine-gibert,https://cdn.lnr.fr/joueur/2150-antoine-gibert/photo/photoFull.8b942e992ebb42fdd1ca819c8cb833427c776cef,Antoine Gibert,Racing 92,R92,CENTRE,Centre,2020-2021,24,953.0,39.7,4.53,,,0.0,,,,0.25,0.42,,,3.61,,,,,lnr,23.0,177.0,76.0,France,90.46767186302073,60.8,59.3,57.7,1.0,27,39,93,29,30,75,,19.0,↗,5,"[3.8, 9.3, 0, 5.2, 50.4]",100,-0.16,Centre,CTR,100,Haute,False,Bonne,False,23,4.3,,,,,,,,,,,,0.0,,,,,,
