player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,nationality,age,height_cm,weight_kg,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,turnovers_won_per80,line_breaks_per80,offloads_per80,points_scored_per80,tries_per80,_source,matches_verified,starter_rate,form_window,form_tackles_per80,form_line_breaks_per80,form_offloads_per80,form_turnovers_per80,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,axis_disc,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl
lnr_862,862,barnabe-massa,https://cdn.lnr.fr/joueur/862-barnabe-massa/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Massa,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,18,904.0,50.2,1,0,0,10.71,0.62,0.18,0.35,2.65,0.53,lnr,18.0,0.111,5.0,11.52,0.31,0.31,0.31,68.5,68.5,1.0,47,28,68,39,73,0,,80,1ère Ligne,1L,100,Haute,False,Bonne,False,38,76.7,,,,,,,,,,,
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,18,800.0,44.4,1,0,0,10.2,0.1,0.0,0.1,0.0,0.0,lnr,18.0,0.167,5.0,10.52,0.0,0.0,0.0,54.7,54.7,1.0,0,8,0,34,5,0,,80,1ère Ligne,1L,100,Haute,False,Moyenne,False,145,9.1,,,,,,,,,,,
lnr_11297,11297,baptiste-jauneau,https://cdn.lnr.fr/joueur/11297-baptiste-jauneau/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Jauneau,Clermont,CLR,SCRUM_HALF,Demi de mêlée,,,,,2025-2026,16,916.0,57.2,0,0,0,7.16,0.26,0.79,0.96,2.62,0.52,lnr,16.0,0.562,5.0,6.4,0.96,1.6,0.32,70.6,70.6,1.0,56,44,0,66,64,0,0.020000000000000018,100,Demi de mêlée,9,100,Haute,False,Bonne,False,5,89.0,,,,,,,,,,,
lnr_5847,5847,robert-simmons-1,https://cdn.lnr.fr/joueur/5847-robert-simmons-1/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Robert Simmons,Clermont,CLR,LOCK,2ème ligne,,,,,2025-2026,16,858.0,53.6,0,1,0,9.14,0.28,0.09,0.65,0.0,0.0,lnr,16.0,0.5,5.0,8.57,0.0,0.57,0.29,56.5,56.5,1.0,27,46,0,21,16,0,,70,2ème Ligne,2L,100,Haute,False,Bonne,False,55,18.7,73.6,Australie,67,cluster_1,66.3,54.0,50.0,87.1,78.1,57.8,87.3
lnr_11554,11554,killian-tixeront,https://cdn.lnr.fr/joueur/11554-killian-tixeront/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Killian Tixeront,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,16,931.0,58.2,0,0,0,9.71,0.0,0.34,0.09,0.86,0.17,lnr,16.0,0.625,5.0,14.21,0.0,0.37,0.0,52.8,52.8,1.0,44,8,33,32,19,0,,100,3ème Ligne,3L,100,Haute,False,Bonne,False,90,2.2,,,,,,,,,,,
lnr_184,184,giorgi-akhaladze,https://cdn.lnr.fr/joueur/184-giorgi-akhaladze/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Giorgi Akhaladze,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,15,736.0,49.1,1,0,0,9.13,0.0,0.0,0.22,2.17,0.43,lnr,15.0,0.267,5.0,9.1,0.0,0.0,0.0,53.3,53.3,1.0,0,18,56,24,33,0,,80,1ère Ligne,1L,100,Haute,False,Moyenne,False,152,5.0,,,,,,,,,,,
lnr_657,657,etienne-fourcade,https://cdn.lnr.fr/joueur/657-etienne-fourcade/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Fourcade,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,15,474.0,31.6,1,0,0,8.44,0.34,0.34,0.17,2.53,0.51,lnr,15.0,0.0,5.0,9.78,1.15,0.0,0.0,60.1,62.0,0.75,90,14,65,18,57,0,,80,1ère Ligne,1L,75,Haute,False,Moyenne,False,91,43.1,,,,,,,,,,,
lnr_2195,2195,anthime-hemery,https://cdn.lnr.fr/joueur/2195-anthime-hemery/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Anthime Hemery,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,15,675.0,45.0,1,0,0,11.61,0.47,0.24,0.47,0.59,0.12,lnr,15.0,0.4,5.0,10.26,0.23,0.0,0.46,67.3,67.3,1.0,31,41,22,50,39,0,,80,3ème Ligne,3L,100,Haute,False,Moyenne,False,28,70.3,,,,,,,,,,,
lnr_2446,2446,selevasio-tolofua,https://cdn.lnr.fr/joueur/2446-selevasio-tolofua/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,S. Tolofua,Clermont,CLR,CENTRE,Centre,,,,,2025-2026,15,865.0,57.7,0,0,0,11.38,0.09,0.09,1.57,0.92,0.18,lnr,15.0,0.467,5.0,13.22,0.23,0.93,0.0,71.1,71.1,1.0,8,100,21,100,21,0,,100,Centre,CTR,100,Haute,False,Bonne,False,15,79.6,,,,,,,,,,,
lnr_12302,12302,pita-gus-sowakula,https://cdn.lnr.fr/joueur/12302-pita-gus-sowakula/photo/photoFull.c014f51db1da0b1217b367d4a2b9e8cf48e92c3e,P. Sowakula,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,14,927.0,66.2,1,0,0,9.15,0.26,0.17,1.55,0.86,0.17,lnr,14.0,0.714,5.0,10.47,0.0,1.63,0.7,63.8,63.8,1.0,22,100,33,27,33,0,,80,3ème Ligne,3L,100,Haute,False,Bonne,False,40,57.1,,,,,,,,,,,
lnr_712,712,bautista-delguy,https://cdn.lnr.fr/joueur/712-bautista-delguy/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Delguy,Clermont,CLR,WINGER,Ailier,,,,,2025-2026,13,987.0,75.9,0,0,0,3.08,0.0,0.73,0.65,1.22,0.24,lnr,13.0,0.923,5.0,4.17,0.83,1.04,0.0,61.4,61.4,1.0,41,41,100,20,14,0,0.020000000000000018,100,Ailier,AIL,100,Haute,False,Bonne,False,26,34.2,70.6,Argentine,49,cluster_1,77.3,53.5,50.0,85.0,89.8,74.2,91.4
lnr_1793,1793,kylan-hamdaoui,https://cdn.lnr.fr/joueur/1793-kylan-hamdaoui/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Kylan Hamdaoui,Clermont,CLR,FULLBACK,Arrière,,,,,2025-2026,13,834.0,64.2,0,0,0,2.21,0.1,1.25,0.67,2.4,0.48,lnr,13.0,0.769,5.0,3.71,1.85,1.24,0.31,70.4,70.4,1.0,100,39,0,17,69,0,0.0,100,Arrière,ARR,100,Haute,False,Bonne,False,6,82.8,,,,,,,,,,,
lnr_402,402,joris-jurand,https://cdn.lnr.fr/joueur/402-joris-jurand/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Joris Jurand,Clermont,CLR,CENTRE,Centre,,,,,2025-2026,13,960.0,73.8,2,0,0,3.08,0.0,0.67,1.0,2.5,0.5,lnr,13.0,0.923,5.0,3.6,0.21,1.06,0.0,60.1,60.1,1.0,58,65,57,8,36,0,,60,Centre,CTR,100,Haute,False,Bonne,False,52,28.2,,,,,,,,,,,
lnr_1544,1544,alivereti-loaloa,https://cdn.lnr.fr/joueur/1544-alivereti-loaloa/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,A. Loaloa,Clermont,CLR,CENTRE,Centre,,,,,2025-2026,13,981.0,75.5,0,0,0,8.56,0.82,0.33,1.14,0.41,0.08,lnr,13.0,0.923,5.0,7.4,0.4,1.8,1.4,75.8,75.8,1.0,29,74,9,83,46,0,,100,Centre,CTR,100,Haute,False,Bonne,False,3,97.2,,,,,,,,,,,
lnr_921,921,regis-montagne,https://cdn.lnr.fr/joueur/921-regis-montagne/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Régis Montagne,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,13,600.0,46.2,1,0,0,9.73,0.4,0.0,0.27,0.0,0.0,lnr,13.0,0.077,5.0,9.02,0.0,0.29,0.29,59.3,59.3,1.0,0,22,0,30,21,0,,80,1ère Ligne,1L,100,Haute,False,Moyenne,False,116,27.4,,,,,,,,,,,
lnr_906,906,pio-muarua,https://cdn.lnr.fr/joueur/906-pio-muarua/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Pio Muarua,Clermont,CLR,BACK_ROW,3ème ligne,,,,,2025-2026,13,396.0,30.5,0,0,0,9.29,0.2,0.2,0.61,1.01,0.2,lnr,12.0,0.0,5.0,14.08,0.0,0.0,0.0,60.7,63.1,0.75,26,53,38,28,34,0,,100,3ème Ligne,3L,75,Haute,False,Basse,False,44,52.2,,,,,,,,,,,
lnr_646,646,alex-newsome,https://cdn.lnr.fr/joueur/646-alex-newsome/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Alex Newsome,Clermont,CLR,FULLBACK,Arrière,,,,,2025-2026,13,875.0,67.3,0,0,0,2.93,0.09,0.46,0.73,2.29,0.46,lnr,13.0,0.769,5.0,2.55,0.21,0.21,0.0,62.6,62.6,1.0,38,42,0,37,65,0,0.0,100,Arrière,ARR,100,Haute,False,Bonne,False,13,58.6,,,,,,,,,,,
lnr_937,937,lucas-zamora,https://cdn.lnr.fr/joueur/937-lucas-zamora/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Lucas Zamora,Clermont,CLR,SCRUM_HALF,Demi de mêlée,,,,,2025-2026,13,420.0,32.3,0,0,0,5.71,0.0,0.76,1.33,2.86,0.57,lnr,13.0,0.154,5.0,6.37,0.32,0.96,0.0,66.3,67.3,0.75,54,62,0,41,46,0,0.010000000000000231,100,Demi de mêlée,9,75,Haute,False,Moyenne,False,10,78.0,,,,,,,,,,,
lnr_2709,2709,leon-darricarrere,https://cdn.lnr.fr/joueur/2709-leon-darricarrere/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,L. Darricarrere,Clermont,CLR,CENTRE,Centre,,,,,2025-2026,12,822.0,68.5,0,0,0,4.28,0.0,0.49,0.58,0.97,0.19,lnr,12.0,0.833,5.0,4.79,1.01,1.77,0.0,58.2,58.2,1.0,42,38,22,24,14,0,,100,Centre,CTR,100,Haute,False,Bonne,False,59,18.3,,,,,,,,,,,
lnr_2023,2023,sacha-lotrian,https://cdn.lnr.fr/joueur/2023-sacha-lotrian/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Sacha Lotrian,Clermont,CLR,FRONT_ROW,1ère ligne,,,,,2025-2026,12,390.0,32.5,1,0,0,14.56,0.0,0.0,0.62,2.05,0.41,lnr,12.0,0.0,5.0,9.46,0.0,0.43,0.0,65.8,66.4,0.75,0,50,53,75,32,0,,80,1ère Ligne,1L,75,Haute,False,Basse,False,58,63.8,,,,,,,,,,,
