player_id,name,team,position_group,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,carries_per80,meters_per80,passes_per80,kick_meters_per80,penalties_per80,offloads_per80,line_breaks_per80,turnovers_won_per80,turnovers_lost_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct
lnr_862,B. Massa,Clermont,FRONT_ROW,16,801.0,50.1,10.49,,,,,,,0.4,0.2,0.6,,3.0,,,,
lnr_694,C. Ojovan,Clermont,FRONT_ROW,16,681.0,42.6,10.34,,,,,,,0.12,0.0,0.12,,0.0,,,,
lnr_11554,Killian Tixeront,Clermont,BACK_ROW,16,931.0,58.2,9.71,,,,,,,0.09,0.34,0.0,,0.86,,,,
lnr_184,Giorgi Akhaladze,Clermont,FRONT_ROW,15,736.0,49.1,9.13,,,,,,,0.22,0.0,0.0,,2.17,,,,
lnr_2446,S. Tolofua,Clermont,CENTRE,15,865.0,57.7,11.47,,,,,,,1.57,0.09,0.09,,0.92,,,,
lnr_2655,Thomas Ceyte,Clermont,LOCK,14,886.0,63.3,9.3,,,,,,,1.72,0.18,0.18,,0.0,,,,
lnr_657,Etienne Fourcade,Clermont,FRONT_ROW,14,443.0,31.6,8.49,,,,,,,0.18,0.18,0.36,,1.81,,,,
lnr_11297,B. Jauneau,Clermont,SCRUM_HALF,14,790.0,56.4,7.7,,,,,,,1.01,0.71,0.3,,3.04,,,,
lnr_5847,Robert Simmons,Clermont,LOCK,14,738.0,52.7,9.11,,,,,,,0.54,0.11,0.33,,0.0,,,,
lnr_2195,Anthime Hemery,Clermont,BACK_ROW,13,522.0,40.2,12.41,,,,,,,0.61,0.31,0.61,,0.0,,,,
lnr_921,Régis Montagne,Clermont,FRONT_ROW,13,600.0,46.2,9.73,,,,,,,0.27,0.0,0.4,,0.0,,,,
lnr_1793,Kylan Hamdaoui,Clermont,FULLBACK,12,754.0,62.8,2.33,,,,,,,0.74,1.27,0.11,,2.65,,,,
lnr_646,Alex Newsome,Clermont,FULLBACK,12,808.0,67.3,2.87,,,,,,,0.79,0.4,0.1,,2.48,,,,
lnr_12302,P. Sowakula,Clermont,BACK_ROW,12,784.0,65.3,8.98,,,,,,,1.53,0.2,0.0,,0.51,,,,
lnr_937,Lucas Zamora,Clermont,SCRUM_HALF,12,407.0,33.9,5.7,,,,,,,1.38,0.79,0.0,,2.95,,,,
