team,team_code,team_rating,att_index,def_index,kick_index,pow_index,player_count
Toulouse,TLS,76.8,65.6,40.4,45.8,56.0,46
Lyon,LOU,74.4,61.2,69.4,55.9,51.1,38
Bordeaux,BOR,74.2,55.4,63.1,35.9,56.8,34
Perpignan,PER,72.1,54.0,60.2,29.4,38.6,43
Racing 92,R92,71.3,57.6,71.1,19.6,26.0,34
Paris,SFP,71.0,63.9,83.0,39.8,44.8,35
Toulon,TLN,70.9,45.4,50.4,26.2,46.6,46
Pau,PAU,70.3,27.5,65.5,28.2,41.5,36
Montpellier,MHR,68.9,41.5,64.0,41.4,41.2,31
Clermont,CLR,68.6,34.5,55.8,28.1,46.4,41
Bayonne,BAY,67.7,42.8,61.5,29.4,27.6,42
Castres,CAS,67.4,23.2,38.0,46.8,25.1,40
Montauban,MTB,66.9,52.4,39.9,61.4,48.6,37
La Rochelle,LRO,66.0,47.9,29.0,41.8,47.8,41
