alias,canonical_name
Stade Toulousain,Toulouse
Stade Toulousain Rugby,Toulouse
Toulouse Rugby,Toulouse
TLS,Toulouse
Racing 92,Racing 92
Racing Metro,Racing 92
R92,Racing 92
Stade Rochelais,La Rochelle
La Rochelle Rugby,La Rochelle
LRO,La Rochelle
ASM Clermont,Clermont
ASM,Clermont
Clermont Auvergne,Clermont
Union Bordeaux Begles,Bordeaux
Bordeaux-Begles,Bordeaux
UBB,Bordeaux
CO Castres,Castres
Castres Olympique,Castres
MHR,Montpellier
Montpellier Herault Rugby,Montpellier
LOU Rugby,Lyon
Lyon OU,Lyon
CA Brive,Brive
Brive Correze,Brive
USAP,Perpignan
USA Perpignan,Perpignan
Section Paloise,Pau
Pau Rugby,Pau
RC Vannes,Vannes
Vannes RC,Vannes
RC Toulon,Toulon
Toulon Rugby,Toulon
RCT,Toulon
Stade Francais Paris,Paris
Stade Francais,Paris
SF Paris,Paris
